"concept_id_1","concept_id_2","Patient.Count","Event.Count","concept_name.y","concept_name.x"
602164,45581216,641468,1959985,"Squamous cell carcinoma of skin of right upper limb, including shoulder","Primary squamous cell carcinoma of skin of right upper limb"
37312520,45605831,212915,1956282,"Atherosclerosis of native arteries of right leg with ulceration of other part of foot","Ischemic foot ulcer due to atherosclerosis of artery of lower limb"
37110250,45605831,212915,1956282,"Atherosclerosis of native arteries of right leg with ulceration of other part of foot","Atherosclerosis of artery of lower limb"
759931,45600577,223530,1941944,"Intraductal carcinoma in situ of right breast","Ductal carcinoma in situ of right breast"
433495,35207616,795360,1940746,"Conductive hearing loss, bilateral","Conductive hearing loss, bilateral"
436948,45595749,639188,1938381,"Benign neoplasm of right choroid","Benign neoplasm of choroid"
372629,37200388,377125,1927796,"Nonexudative age-related macular degeneration, left eye, intermediate dry stage","Nonexudative age-related macular degeneration"
372629,37200382,377807,1923719,"Nonexudative age-related macular degeneration, right eye, intermediate dry stage","Nonexudative age-related macular degeneration"
4264617,45538703,418040,1915028,"Foot drop, left foot","Foot-drop"
4242103,45548322,665844,1914084,"Unilateral primary osteoarthritis of first carpometacarpal joint, left hand","Osteoarthrosis of the carpometacarpal joint of the thumb"
37170720,45596391,178808,1905698,"Pressure ulcer of left buttock, stage 3","Pressure injury of left buttock stage III"
37109301,45566681,629785,1902311,"Benign neoplasm of left choroid","Benign neoplasm of left choroid"
81379,45533937,554906,1900407,"Lateral epicondylitis, right elbow","Lateral epicondylitis"
4242103,45582057,659611,1898980,"Unilateral primary osteoarthritis of first carpometacarpal joint, right hand","Osteoarthrosis of the carpometacarpal joint of the thumb"
4347174,45567641,517971,1876385,"Synovial cyst of popliteal space [Baker], left knee","Synovial cyst of knee"
